video_id	sentence_id	text	label	start	end	speaker
-iY9MrIHc8c	-iY9MrIHc8c_0_0	hello sir how are you good evening	0	6.385	8.491	1
-iY9MrIHc8c	-iY9MrIHc8c_0_1	i'm good i'm good thank you how about you how was	0	12.78	16.794	0
-iY9MrIHc8c	-iY9MrIHc8c_0_2	friday and friday is weekend for me i love to	0	20.815	24.318	1
-iY9MrIHc8c	-iY9MrIHc8c_0_3	five and forty two so	0	28.553	33.694	1
-iY9MrIHc8c	-iY9MrIHc8c_0_4	so night outs are not	0	49.858	50.94	1
-iY9MrIHc8c	-iY9MrIHc8c_0_5	so what is the limit what	0	58.971	60.533	0
-iY9MrIHc8c	-iY9MrIHc8c_0_6	earlier it was nine but now they have	0	63.437	65.58	1
-iY9MrIHc8c	-iY9MrIHc8c_0_7	and i'm sorry for the last class like i was	0	69.49	76.757	1
-iY9MrIHc8c	-iY9MrIHc8c_0_8	what do you mean by	0	77.137	77.678	0
-iY9MrIHc8c	-iY9MrIHc8c_0_9	i have to attend the session	0	82.585	83.846	1
-iY9MrIHc8c	-iY9MrIHc8c_0_10	i'm an educator so i have a youtube channel too you can surf for the same it is bisha junior classes right so i want to upload this session on my channel so i want to take the	0	103.121	115.222	1
-iY9MrIHc8c	-iY9MrIHc8c_0_11	basically the procedure to take	0	117.73	119.753	0
-iY9MrIHc8c	-iY9MrIHc8c_0_12	so i really want to work on the same about your what lacunas right	0	143.155	150.944	1
-iY9MrIHc8c	-iY9MrIHc8c_0_13	it could be but i	0	162.413	163.494	0
-iY9MrIHc8c	-iY9MrIHc8c_0_14	i don't know about the spelling let	0	170.888	172.31	1
-iY9MrIHc8c	-iY9MrIHc8c_0_15	was maybe then we can figure it out was it lacking points	0	176.655	182.472	0
-iY9MrIHc8c	-iY9MrIHc8c_0_16	colleagues maybe they were using slangs	0	188.987	191.488	1
-iY9MrIHc8c	-iY9MrIHc8c_0_17	is a word like that again english	0	198.254	200.178	0
-iY9MrIHc8c	-iY9MrIHc8c_0_18	saying that english is a vast language even	0	203.59	205.154	0
-iY9MrIHc8c	-iY9MrIHc8c_0_19	is there l-a-c-u-n-a a gap or	0	216.215	220.044	1
-iY9MrIHc8c	-iY9MrIHc8c_0_20	i will research it but but but but	0	229.068	231.029	1
-iY9MrIHc8c	-iY9MrIHc8c_0_21	gap or missing part then	0	242.323	244.106	1
-iY9MrIHc8c	-iY9MrIHc8c_0_22	lots of words in the english dictionary	0	251.835	253.337	0
-iY9MrIHc8c	-iY9MrIHc8c_0_23	we went outside so we ate	0	268.573	270.535	1
